,user_acc_x(G),user_acc_y(G),user_acc_z(G),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),LabelOnTable,LabelWalking,LabelRunning,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6
2018-06-11 19:54:56.344709,-0.00143354889325,0.000982893430527,-0.00142785797427,0.0316836760288,0.0878551942899,-0.030088998208,-0.000581968868556,0.00167014997476,-0.00317563825979,0.0315561388422,-0.0877421188979,-0.995643243858,18.5720289027,-0.129471680912,-46.0477994071,1,0,0,0.925887747004,0.0833435210168,0.107943159465,-0.180167212888,0.0104556215236,0.00874232709153
2018-06-11 19:54:56.594709,-0.00195268922416,0.000300758313453,-0.00143456808439,0.0314862259206,0.087629978649,-0.0306383369973,-0.000398194010111,0.00348392981911,-0.00217915971303,0.0313603034172,-0.0875177346104,-0.995669106699,18.5603646096,-0.108364478074,-46.052555775,1,0,0,0.925972818018,0.0832002458649,0.108392667887,-0.180245159965,0.0104382122532,0.00879176195082
2018-06-11 19:54:56.844709,-0.000936718275332,0.000664349709618,-0.00127026849916,0.0315148554286,0.0875234767802,-0.0311434724521,0.00192321496606,0.000816100857797,-0.00230404989039,0.0313890941954,-0.087411784233,-0.995677555919,18.5602014665,-0.093976843907,-46.0526524664,1,0,0,0.926107328875,0.0831163283897,0.108573136243,-0.180254152793,0.0102180156841,0.00871446409729
2018-06-11 19:54:57.094709,-0.000959602495965,0.000598985272943,-0.00155303314512,0.0312567752493,0.0875878195273,-0.0316972820906,0.00175165777653,-0.000614835315767,-0.00238780906823,0.0311319003721,-0.0874758292827,-0.995679980722,18.5469885621,-0.0877591503814,-46.0579855079,1,0,0,0.925976902618,0.0830324314391,0.108839869355,-0.18035593901,0.010361377431,0.00861805691593
2018-06-11 19:54:57.344709,-0.00128943024163,0.000223543045961,-0.00186951751523,0.0309892912909,0.0875355347545,-0.0323277368147,0.000459962282475,0.0012426540911,-0.00239032958394,0.0308656670427,-0.0874236860914,-0.995692856184,18.5317113415,-0.0750679863252,-46.0641621559,1,0,0,0.925903541194,0.0829300150801,0.109225780023,-0.18046522594,0.0104021465887,0.00860965210117
2018-06-11 19:54:57.594709,-0.000889088565269,0.000193084540132,-0.00169707692016,0.0309864706397,0.0873682131556,-0.0329539672892,0.00138043925056,0.00155500041878,-0.00269041753686,0.0308633535274,-0.0872571553467,-0.995707505216,18.5286942852,-0.0561830189743,-46.0654021511,1,0,0,0.926051997143,0.0828166762451,0.109501485199,-0.180508884947,0.0101764816196,0.00862918913619
2018-06-11 19:54:57.844709,-0.00115667288994,0.000286570290082,-0.00177875570298,0.0307728571989,0.0873785103929,-0.0335756028004,0.00175696840428,0.000782356782161,-0.00288307199562,0.0306506936339,-0.0872674543748,-0.995713169426,18.5169543575,-0.0458584320083,-46.0701325695,1,0,0,0.925983363474,0.0826899943993,0.109769245389,-0.180653440089,0.0102563424127,0.0086190777993
2018-06-11 19:54:58.094709,-0.000982681778051,0.000915116642705,-0.00204953418033,0.0305421595387,0.087382038965,-0.0342660969782,0.00156892406208,0.00107599461643,-0.00312634815527,0.0304209362153,-0.0872709726915,-0.995719949398,18.5030314845,-0.0350961505347,-46.0757393399,1,0,0,0.925895366755,0.0825731690742,0.110057824773,-0.180817828976,0.0102327451105,0.00861121803883
2018-06-11 19:54:58.344709,-0.000470780575224,0.00114431135884,-0.0016948180929,0.030551507105,0.0872641163847,-0.0350098754079,0.00210339702528,0.000988997908093,-0.00315818525931,0.0304306085863,-0.0871535002545,-0.995729931804,18.4998964226,-0.0170285757638,-46.0770055817,1,0,0,0.92602913503,0.0824353042571,0.110296678388,-0.180884306089,0.0100688142275,0.0086562181998
2018-06-11 19:54:58.594709,-0.000999653701541,0.000444077712488,-0.00142503472639,0.0305156703596,0.0873096010671,-0.0357271105069,0.00150109587118,0.00111702070971,-0.00290510869871,0.0303948357476,-0.0871986874456,-0.995727203559,18.4960006971,-0.00620442154158,-46.0785715038,1,0,0,0.926040221712,0.0823148922665,0.110462256698,-0.180982927631,0.0101893867036,0.00874235332622
