,user_acc_x(G),user_acc_y(G),user_acc_z(G),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),LabelOnTable,LabelWalking,LabelRunning
2018-06-11 19:54:56.344709,-0.0014377692307692307,0.00098200000000000002,-0.0014270769230769231,0.0316837692308,0.0878553076923,-0.0300893076923,-0.000583538461538,0.00167084615385,-0.00317423076923,0.0315562307692,-0.0877422307692,-0.995643230769,18.5720337692,-0.129469538462,-46.0477974615,1,0,0
2018-06-11 19:54:56.594709,-0.0019367499999999999,7.0750000000000026e-05,-0.0015954166666666662,0.0314483333333,0.0876705,-0.0306358333333,-0.000334333333333,0.00307441666667,-0.00219441666667,0.0313225,-0.0875581666667,-0.99566675,18.5587085,-0.11005975,-46.0532213333,1,0,0
2018-06-11 19:54:56.844709,-0.00092769230769230776,0.0010509230769230769,-0.0010028461538461541,0.0315817692308,0.0874566923077,-0.0311485384615,0.00179707692308,0.00152853846154,-0.00224861538462,0.0314558461538,-0.0873451538462,-0.995681307692,18.5630833077,-0.0911894615385,-46.0514945385,1,0,0
2018-06-11 19:54:57.094709,-0.0010498333333333336,0.00017425000000000006,-0.0018453333333333332,0.0311758333333,0.08765825,-0.0316891666667,0.00193258333333,-0.00146075,-0.00252025,0.0310511666667,-0.0875460833333,-0.995676333333,18.5436031667,-0.0907,-46.05934525,1,0,0
2018-06-11 19:54:57.344709,-0.0010653076923076922,0.00057107692307692306,-0.0016263076923076921,0.0310670769231,0.0874827692308,-0.0323387692308,0.000248769230769,0.00205315384615,-0.00215784615385,0.0309432307692,-0.0873710769231,-0.995695076923,18.5347845385,-0.0728503846154,-46.0629286154,1,0,0
2018-06-11 19:54:57.594709,-0.0012708333333333332,-6.0833333333333595e-06,-0.0018550833333333334,0.0309271666667,0.08739175,-0.03294125,0.00157991666667,0.000890083333333,-0.00301416666667,0.03080425,-0.0872805833333,-0.99570725,18.5266361667,-0.0572125833333,-46.0662271667,1,0,0
2018-06-11 19:54:57.844709,-0.00064092307692307691,0.00032792307692307689,-0.001693923076923077,0.0308031538462,0.0873824615385,-0.0335878461538,0.00161561538462,0.00127830769231,-0.00251046153846,0.0306808461538,-0.0872714615385,-0.995711923077,18.5175568462,-0.0459266923077,-46.0698926154,1,0,0
2018-06-11 19:54:58.094709,-0.0015593333333333334,0.00099008333333333348,-0.0021079166666666664,0.0305451666667,0.087363,-0.0342565833333,0.00162241666667,0.0006965,-0.00348675,0.030424,-0.0872519166667,-0.9957215,18.5039970833,-0.0344578333333,-46.07534975,1,0,0
2018-06-11 19:54:58.344709,6.2538461538461532e-05,0.0010158461538461539,-0.0016108461538461539,0.0305172307692,0.0872823846154,-0.0350153846154,0.00213384615385,0.00134023076923,-0.00286646153846,0.0303963846154,-0.0871717692308,-0.995729384615,18.4975649231,-0.0175785384615,-46.0779428462,1,0,0
2018-06-11 19:54:58.594709,-0.0013883333333333334,0.00057325000000000008,-0.0015618333333333335,0.03057375,0.0873033333333,-0.0357251666667,0.001426,0.000717833333333,-0.00309583333333,0.03045275,-0.0871924166667,-0.995726,18.4992548333,-0.00619133333333,-46.0772649167,1,0,0
2018-06-11 19:54:58.844709,-0.00093492307692307701,0.00038915384615384615,-0.0015652307692307691,0.0304773846154,0.087418,-0.0364494615385,0.000813769230769,0.00208807692308,-0.00284084615385,0.0303561538462,-0.0873067692308,-0.995718923077,18.4909882308,0.00101976923077,-46.0805852308,1,0,0
